area,bmmc,hdrs,zgrys,isga,yxsj
顺义区,网信办,0,0,true,302
顺义区,外办,0,0,true,302
顺义区,侨办,0,0,true,302
顺义区,新闻广电局,0,0,true,302
顺义区,文化局,0,0,true,302
顺义区,金融局,0,0,true,302
顺义区,地方志,0,0,true,302
顺义区,编办,0,0,true,302
大兴区,发改委,34,21,true,251
大兴区,教委,8,8,true,251
大兴区,科委,3,0,true,251
大兴区,经信委,5,0,true,251
大兴区,民委,9,4,true,251
大兴区,公安局,0,0,true,251
大兴区,国安局,0,0,true,251
大兴区,民政局,102,26,true,251
大兴区,司法局,17,15,true,251
大兴区,财政局,9,9,true,251
大兴区,人社局,196,5,true,251
大兴区,国土局,29,28,true,251
大兴区,环保局,53,46,true,251
大兴区,规划委,0,0,true,251
大兴区,住建委,48,14,true,251
大兴区,市城管委,16,2,true,251
大兴区,交通委,111,101,true,251
大兴区,农业局,130,83,true,251
大兴区,水务局,117,90,true,251
大兴区,商委,27,24,true,251
大兴区,旅游委,10,2,true,251
大兴区,卫计委,61,41,true,251
大兴区,审计局,51,41,true,251
大兴区,地税局,196,189,true,251
大兴区,工商局,174,139,true,251
大兴区,质监局,42,30,true,251
大兴区,安监局,73,71,true,251
大兴区,食药局,100,87,true,251
大兴区,文物局,0,0,true,251
大兴区,体育局,5,4,true,251
大兴区,统计局,102,100,true,251
大兴区,园林绿化局,123,33,true,251
大兴区,知识产权局,0,0,true,251
大兴区,民防局,15,8,true,251
大兴区,城管局,288,231,true,251
大兴区,文化执法总队,16,15,true,251
大兴区,开发区,0,0,true,251
大兴区,公积金,0,0,true,251
大兴区,通管局,0,0,true,251
大兴区,邮管局,0,0,true,251
大兴区,地震局,4,4,true,251
大兴区,气象局,3,3,true,251
大兴区,档案局,37,28,true,251
大兴区,保密局,11,2,true,251
大兴区,烟草局,0,0,true,251
大兴区,网信办,0,0,true,251
大兴区,外办,0,0,true,251
大兴区,侨办,0,0,true,251
大兴区,新闻广电局,0,0,true,251
大兴区,文化局,0,0,true,251
大兴区,金融局,0,0,true,251
大兴区,地方志,0,0,true,251
大兴区,编办,0,0,true,251
昌平区,发改委,36,17,true,269
昌平区,教委,5,5,true,269
昌平区,科委,4,4,true,269
昌平区,经信委,5,2,true,269
昌平区,民委,18,5,true,269
昌平区,公安局,0,0,true,269
昌平区,国安局,0,0,true,269
昌平区,民政局,47,21,true,269
昌平区,司法局,11,8,true,269
昌平区,财政局,12,10,true,269
昌平区,人社局,93,21,true,269
昌平区,国土局,41,34,true,269
昌平区,环保局,62,56,true,269
昌平区,规划委,0,0,true,269
昌平区,住建委,81,48,true,269
昌平区,市城管委,2,0,true,269
昌平区,交通委,101,75,true,269
昌平区,农业局,105,75,true,269
昌平区,水务局,29,7,true,269
